nome;descricao;quantidade_vencedores;tipo_premio;data_criacao
OUTSTANDING STUDENT;OUTSTANDING STUDENT;;;
TESOURO;TESOURO;;;
PERCEPTÍVEL MUDANÇA;PERCEPTÍVEL MUDANÇA;;;
SÉRIE ESCOLAR - INGLÊS;SÉRIE ESCOLAR - INGLÊS;;;
EXEMPLO DE PERSISTÊNCIA;EXEMPLO DE PERSISTÊNCIA;;;
SÉRIE ESCOLAR - MATEMÁTICA;SÉRIE ESCOLAR - MATEMÁTICA;;;
PRATA - INGLÊS;PRATA - INGLÊS;;;
BRONZE - PORTUGUÊS;BRONZE - PORTUGUÊS;;;
CONCLUINTE - MATEMÁTICA;CONCLUINTE - MATEMÁTICA;;;
LIGA L;LIGA L;;;
OURO - INGLÊS;OURO - INGLÊS;;;
PLATINUM;PLATINUM;;;
BRONZE - INGLÊS;BRONZE - INGLÊS;;;
BRONZE - MATEMÁTICA;BRONZE - MATEMÁTICA;;;
PEQUENO TESOURO;PEQUENO TESOURO;;;
CONCLUINTE - PORTUGUÊS;CONCLUINTE - PORTUGUÊS;;;
SÉRIE ESCOLAR - PORTUGUÊS;SÉRIE ESCOLAR - PORTUGUÊS;;;
CONCLUINTE - INGLÊS;CONCLUINTE - INGLÊS;;;
