id_participante;CATEGORIA;status;data_entrega
40;4;;
49;4;;
73;4;;
106;4;;
41;5;;
46;6;;
72;7;;
97;8;;
123;9;;
128;10;;
134;11;;
140;12;;
143;13;;
152;14;;
161;15;;
177;16;;
28;17;;
126;18;;
140;19;;
152;20;;
155;21;;
122;22;;
194;23;;
191;24;;
193;25;;
192;26;;
34;27;;
44;28;;
68;29;;
157;30;;
7;31;;
12;32;;
17;33;;
18;34;;
19;35;;
24;36;;
25;37;;
31;38;;
35;39;;
45;40;;
48;41;;
51;42;;
59;43;;
60;44;;
61;45;;
70;46;;
76;47;;
80;48;;
82;49;;
89;50;;
92;51;;
93;52;;
101;53;;
102;54;;
104;55;;
105;56;;
109;57;;
115;58;;
116;59;;
121;60;;
135;61;;
156;62;;
162;63;;
163;64;;
186;65;;
37;66;;
37;67;;
72;68;;
1;1;;
21;1;;
52;1;;
69;1;;
81;1;;
87;1;;
90;1;;
111;1;;
120;1;;
148;1;;
159;1;;
160;1;;
168;1;;
42;15;;
62;15;;
117;15;;
125;15;;
127;15;;
129;15;;
130;15;;
132;15;;
133;15;;
134;15;;
136;15;;
138;15;;
139;15;;
141;15;;
144;15;;
150;15;;
158;15;;
164;15;;
170;15;;
171;15;;
173;15;;
178;15;;
180;15;;
184;15;;
3;3;;
5;3;;
9;3;;
11;3;;
15;3;;
22;3;;
27;3;;
39;3;;
56;3;;
66;3;;
67;3;;
75;3;;
84;3;;
85;3;;
96;3;;
100;3;;
103;3;;
113;3;;
118;3;;
137;3;;
142;3;;
145;3;;
147;3;;
151;3;;
153;3;;
154;3;;
165;3;;
166;3;;
167;3;;
169;3;;
172;3;;
176;3;;
179;3;;
181;3;;
182;3;;
183;3;;
38;12;;
26;13;;
42;14;;
54;15;;
57;16;;
71;17;;
131;18;;
6;4;;
83;4;;
152;4;;
155;4;;
175;4;;
23;6;;
28;6;;
47;6;;
50;6;;
64;6;;
69;6;;
94;6;;
95;6;;
110;6;;
124;6;;
139;6;;
107;6;;
175;6;;
2;2;;
4;2;;
8;2;;
13;2;;
16;2;;
29;2;;
30;2;;
32;2;;
36;2;;
43;2;;
53;2;;
55;2;;
58;2;;
74;2;;
77;2;;
78;2;;
79;2;;
86;2;;
88;2;;
98;2;;
99;2;;
108;2;;
114;2;;
