participante_id;categoria_id;status;data_entrega
40;13;null;1900-01-01
49;13;null;1900-01-02
73;13;null;1900-01-03
106;13;null;1900-01-04
41;14;null;1900-01-05
46;14;null;1900-01-06
72;14;null;1900-01-07
97;14;null;1900-01-08
123;14;null;1900-01-09
128;14;null;1900-01-10
134;14;null;1900-01-11
140;14;null;1900-01-12
143;14;null;1900-01-13
152;14;null;1900-01-14
161;14;null;1900-01-15
177;14;null;1900-01-16
28;8;null;1900-01-17
126;8;null;1900-01-18
140;8;null;1900-01-19
152;8;null;1900-01-20
155;8;null;1900-01-21
122;18;null;1900-01-22
194;18;null;1900-01-23
191;18;null;1900-01-24
193;18;null;1900-01-25
192;18;null;1900-01-26
34;9;null;1900-01-27
44;16;null;1900-01-28
68;16;null;1900-01-29
157;16;null;1900-01-30
7;5;null;1900-01-31
12;5;null;1900-02-01
17;5;null;1900-02-02
18;5;null;1900-02-03
19;5;null;1900-02-04
24;5;null;1900-02-05
25;5;null;1900-02-06
31;5;null;1900-02-07
35;5;null;1900-02-08
45;5;null;1900-02-09
48;5;null;1900-02-10
51;5;null;1900-02-11
59;5;null;1900-02-12
60;5;null;1900-02-13
61;5;null;1900-02-14
70;5;null;1900-02-15
76;5;null;1900-02-16
80;5;null;1900-02-17
82;5;null;1900-02-18
89;5;null;1900-02-19
92;5;null;1900-02-20
93;5;null;1900-02-21
101;5;null;1900-02-22
102;5;null;1900-02-23
104;5;null;1900-02-24
105;5;null;1900-02-25
109;5;null;1900-02-26
115;5;null;1900-02-27
116;5;null;1900-02-28
121;5;null;1900-02-29
135;5;null;1900-03-01
156;5;null;1900-03-02
162;5;null;1900-03-03
163;5;null;1900-03-04
186;5;null;1900-03-05
37;10;null;1900-03-06
37;11;null;1900-03-07
72;11;null;1900-03-08
1;1;null;1900-03-09
21;1;null;1900-03-10
52;1;null;1900-03-11
69;1;null;1900-03-12
81;1;null;1900-03-13
87;1;null;1900-03-14
90;1;null;1900-03-15
111;1;null;1900-03-16
120;1;null;1900-03-17
148;1;null;1900-03-18
159;1;null;1900-03-19
160;1;null;1900-03-20
168;1;null;1900-03-21
42;15;null;1900-03-22
62;15;null;1900-03-23
117;15;null;1900-03-24
125;15;null;1900-03-25
127;15;null;1900-03-26
129;15;null;1900-03-27
130;15;null;1900-03-28
132;15;null;1900-03-29
133;15;null;1900-03-30
134;15;null;1900-03-31
136;15;null;1900-04-01
138;15;null;1900-04-02
139;15;null;1900-04-03
141;15;null;1900-04-04
144;15;null;1900-04-05
150;15;null;1900-04-06
158;15;null;1900-04-07
164;15;null;1900-04-08
170;15;null;1900-04-09
171;15;null;1900-04-10
173;15;null;1900-04-11
178;15;null;1900-04-12
180;15;null;1900-04-13
184;15;null;1900-04-14
3;3;null;1900-04-15
5;3;null;1900-04-16
9;3;null;1900-04-17
11;3;null;1900-04-18
15;3;null;1900-04-19
22;3;null;1900-04-20
27;3;null;1900-04-21
39;3;null;1900-04-22
56;3;null;1900-04-23
66;3;null;1900-04-24
67;3;null;1900-04-25
75;3;null;1900-04-26
84;3;null;1900-04-27
85;3;null;1900-04-28
96;3;null;1900-04-29
100;3;null;1900-04-30
103;3;null;1900-05-01
113;3;null;1900-05-02
118;3;null;1900-05-03
137;3;null;1900-05-04
142;3;null;1900-05-05
145;3;null;1900-05-06
147;3;null;1900-05-07
151;3;null;1900-05-08
153;3;null;1900-05-09
154;3;null;1900-05-10
165;3;null;1900-05-11
166;3;null;1900-05-12
167;3;null;1900-05-13
169;3;null;1900-05-14
172;3;null;1900-05-15
176;3;null;1900-05-16
179;3;null;1900-05-17
181;3;null;1900-05-18
182;3;null;1900-05-19
183;3;null;1900-05-20
38;12;null;1900-05-21
26;7;null;1900-05-22
42;7;null;1900-05-23
54;7;null;1900-05-24
57;7;null;1900-05-25
71;7;null;1900-05-26
131;7;null;1900-05-27
6;4;null;1900-05-28
83;4;null;1900-05-29
152;4;null;1900-05-30
155;4;null;1900-05-31
175;4;null;1900-06-01
23;6;null;1900-06-02
28;6;null;1900-06-03
47;6;null;1900-06-04
50;6;null;1900-06-05
64;6;null;1900-06-06
69;6;null;1900-06-07
94;6;null;1900-06-08
95;6;null;1900-06-09
110;6;null;1900-06-10
124;6;null;1900-06-11
139;6;null;1900-06-12
107;17;null;1900-06-13
175;17;null;1900-06-14
2;2;null;1900-06-15
4;2;null;1900-06-16
8;2;null;1900-06-17
13;2;null;1900-06-18
16;2;null;1900-06-19
29;2;null;1900-06-20
30;2;null;1900-06-21
32;2;null;1900-06-22
36;2;null;1900-06-23
43;2;null;1900-06-24
53;2;null;1900-06-25
55;2;null;1900-06-26
58;2;null;1900-06-27
74;2;null;1900-06-28
77;2;null;1900-06-29
78;2;null;1900-06-30
79;2;null;1900-07-01
86;2;null;1900-07-02
88;2;null;1900-07-03
98;2;null;1900-07-04
99;2;null;1900-07-05
108;2;null;1900-07-06
114;2;null;1900-07-07
