ID;NUMERO;NOME;TIPO;DT_CRIACAO;STATUS_PAGO
574;574;CONVIDADO;CONVIDADO;NULL;PAGO
575;575;CONVIDADO;CONVIDADO;NULL;PAGO
576;576;CONVIDADO;CONVIDADO;NULL;PAGO
577;577;CONVIDADO;CONVIDADO;NULL;PAGO
578;578;CONVIDADO;CONVIDADO;NULL;PAGO
579;579;CONVIDADO;CONVIDADO;NULL;PAGO
580;580;CONVIDADO;CONVIDADO;NULL;PAGO
581;581;CONVIDADO;CONVIDADO;NULL;PAGO
582;582;CONVIDADO;CONVIDADO;NULL;PAGO
583;583;CONVIDADO;CONVIDADO;NULL;PAGO
584;584;CONVIDADO;CONVIDADO;NULL;PAGO
585;585;CONVIDADO;CONVIDADO;NULL;PAGO
586;586;CONVIDADO;CONVIDADO;NULL;PAGO
587;587;CONVIDADO;CONVIDADO;NULL;PAGO
588;588;CONVIDADO;CONVIDADO;NULL;PAGO
589;589;CONVIDADO;CONVIDADO;NULL;PAGO
590;590;CONVIDADO;CONVIDADO;NULL;PAGO
591;591;CONVIDADO;CONVIDADO;NULL;PAGO
592;592;CONVIDADO;CONVIDADO;NULL;PAGO
593;593;CONVIDADO;CONVIDADO;NULL;PAGO
594;594;CONVIDADO;CONVIDADO;NULL;PAGO
595;595;CONVIDADO;CONVIDADO;NULL;PAGO
596;596;CONVIDADO;CONVIDADO;NULL;PAGO
597;597;CONVIDADO;CONVIDADO;NULL;PAGO
598;598;CONVIDADO;CONVIDADO;NULL;PAGO
599;599;CONVIDADO;CONVIDADO;NULL;PAGO
600;600;CONVIDADO;CONVIDADO;NULL;PAGO
601;601;CONVIDADO;CONVIDADO;NULL;PAGO
602;602;CONVIDADO;CONVIDADO;NULL;PAGO
603;603;CONVIDADO;CONVIDADO;NULL;PAGO
604;604;CONVIDADO;CONVIDADO;NULL;PAGO
605;605;CONVIDADO;CONVIDADO;NULL;PAGO
606;606;CONVIDADO;CONVIDADO;NULL;PAGO
607;607;CONVIDADO;CONVIDADO;NULL;PAGO
608;608;CONVIDADO;CONVIDADO;NULL;PAGO
609;609;CONVIDADO;CONVIDADO;NULL;PAGO
610;610;CONVIDADO;CONVIDADO;NULL;PAGO
611;611;CONVIDADO;CONVIDADO;NULL;PAGO
612;612;CONVIDADO;CONVIDADO;NULL;PAGO
613;613;CONVIDADO;CONVIDADO;NULL;PAGO
614;614;CONVIDADO;CONVIDADO;NULL;PAGO
615;615;CONVIDADO;CONVIDADO;NULL;PAGO
616;616;CONVIDADO;CONVIDADO;NULL;PAGO
617;617;CONVIDADO;CONVIDADO;NULL;PAGO
618;618;CONVIDADO;CONVIDADO;NULL;PAGO
619;619;CONVIDADO;CONVIDADO;NULL;PAGO
620;620;CONVIDADO;CONVIDADO;NULL;PAGO
621;621;CONVIDADO;CONVIDADO;NULL;PAGO
622;622;CONVIDADO;CONVIDADO;NULL;PAGO
623;623;CONVIDADO;CONVIDADO;NULL;PAGO
